Text,Label
Heute beginnt der Verkauf von Silvester-Feuerwerk.,positive
Das Kinderhilfswerk der Vereinten Nationen hat eine traurige Jahresbilanz gezogen: 473 Millionen Kinder leiden laut UNICEF unter Kriegen und Konflikten - so viele wie niemals zuvor seit Ende des Zweiten Weltkriegs.,negative
Nicht jedes Geschenk macht Freude.,negative
Nach Weihnachten beginnt das große Umtauschen.,positive
Viele Händler sind in der Weihnachtszeit besonders kulant.,positive
Lange Wartezeiten für Kassenpatienten halten die SPD und die gesetzlichen Krankenkassen für ungerecht.,negative
In der kurdisch kontrollierten Stadt Manbidsch im Norden Syriens ist eine Autobombe explodiert.,negative
"Wegen Sicherheitsbedenken droht TikTok im Januar das Aus in den USA, falls die Video-App nicht verkauft wird.",negative
"Laut Präsident Selenskyj sind nun Nordkoreaner in Kriegsgefangenschaft geraten, aber an ihren Verwundungen gestorben.",negative
Seit mehr als einer Woche befindet sich eine italienische Reporterin in den Händen der iranischen Behörden.,negative
Laut WHO sollen noch vor dem Jahreswechsel etwa 50 Tonnen EU-finanzierte medizinische Hilfsgüter in Syrien ankommen.,positive
Bei einem mutmaßlichen Terrorangriff hat in Israel ein Palästinenser eine Frau erstochen.,negative
Nach Weihnachten sind Entsorgungsbetriebe besonders gefordert.,negative
"Tagelang wurde nichts abgeholt, die Tonnen quellen über - denn während der Feiertage hat sich einiges angesammelt.",negative
Auf die Müllwerker in Mainz wartet ein langer Tag.,negative
Israelische Soldaten haben nach palästinensischen Angaben ein Krankenhaus im Norden des Gazastreifens räumen lassen.,negative
Unterdessen setzt Moskau seine Angriffe fort.,negative
Der DAX hat trotz Gegenwind von der Wall Street am Nachmittag weiter Boden gut gemacht.,positive
Nach US-Darstellung erleiden nordkoreanische Soldaten im Kampf gegen die Ukraine hohe Verluste.,negative
"Die Slowakei droht Kiew, sollte kein Gas mehr durchgeleitet werden.",negative
An Weihnachten waren mehr Menschen mit den Fernzügen der Deutschen Bahn unterwegs als im letzten Jahr.,positive
An den Feiertagen war sie deutlich pünktlicher als im Rest des Jahres.,positive
Der Täter von Magdeburg war im Netz sehr aktiv.,positive
Bei einem Bootsunglück vor Marokkos Küste sind mindestens 69 Migranten gestorben.,negative
"Sie waren auf dem Weg zu den Kanarischen Inseln, die zu Spanien und damit zur EU gehören.",positive
SPD-Wahlhelfer wurden von mutmaßlich Rechtsextremen in Berlin brutal attackiert.,negative
Nach dem Ausfall des Unterseekabels EstLink 2 will Estland die verbliebene Leitung EstLink 1 mit der Marine schützen.,negative
Auch die NATO hat eine höhere Militärpräsenz in der Ostsee angekündigt.,positive
"Doch so einfach ist es nicht, Brexit scheint ein chronisches Problem zu sein.",negative
Nun wollen die Briten einen neuen Deal mit der EU aushandeln.,positive
Bei einem Busunglück im Norden Norwegens sind mindestens drei Menschen ums Leben gekommen.,negative
Der Bus mit bis zu 58 Menschen an Bord kam von der Fahrbahn ab und fiel in einen See.,negative
Ein Strom- und mehrere Datenkabel wurden in der Ostsee beschädigt.,negative
War es ein weiterer Anschlag auf die kritische Infrastruktur in der Ostsee?,negative
Finnland hat einen Öltanker festgesetzt und ermittelt wegen schwerer Sabotage.,negative
Neben dem beschädigten Stromkabel sind auch Kommunikationsverbindungen ausgefallen.,negative
Die EU bereitet sich auf das kommende Jahr vor - und damit auf mögliche Konflikte mit ihren wichtigsten Handelspartnern.,positive
Europa fühlt sich gut gerüstet.,positive
Damit könnte sich Europas mächtigste Frau weiter profilieren.,positive
"Nur wenige Stunden vor Ablauf der Frist haben sich Republikaner und Demokraten auf einen Kompromiss für den US-Haushalt geeinigt, um einen Stillstand der Regierung zu verhindern.",positive
Eigentlich gab es bereits eine überparteiliche Lösung im US-Haushaltsstreit.,positive
Doch nun blockiert Trump diesen Kompromiss - offenbar auf Anraten von Elon Musk.,negative
"Die unbekannte ""Krankheit X"" versetzte die Weltgesundheitsorganisation in Alarmbereitschaft.",negative
Auf der Beobachtungsliste der Hilfsorganisation IRC bleibt das Land an oberster Stelle.,positive
Die feiert den Zuspruch des Trump-Beraters.,positive
Die Unruhen nach den umstrittenen Wahlen in Mosambik halten an.,negative
"Wenn Arbeitgeber vor Ort schließen, abwandern oder Jobs streichen, ist das für Gemeinden oft ein schwerer Schlag - wie das Beispiel Eitorf, zwischen Westerwald und Bergischem Land, zeigt.",negative
Die deutsche Autoindustrie ist in einer schwierigen Lage.,negative
Trotz ihrer vergleichsweise einfachen und sicheren Handhabe blicken viele Menschen weiterhin skeptisch auf ETF.,negative
"Warum die Furcht unbegründet und wann der richtige Zeitpunkt ist, erklärt Finanzprofessor Andreas Hackethal.",positive
Durch die staatliche Unterstützung beim Immobilienkauf können mehrere Zehntausend Euro zusammenkommen.,positive
"Um alte Häuser in Deutschland energetisch auf Vordermann zu bringen, unterstützt der Staat die Besitzer dabei mit vielen Fördermöglichkeiten.",positive
Sowohl ein Unternehmen als auch ein neues Quartier setzen auf eine klimaneutrale Versorgung durch die EnBW.,positive
Envelio stellt im Interview die Ergebnisse seiner Netzstudie vor und benennt Herausforderungen für Verteilnetzbetreiber.,negative
Der Engie-Konzern hat zwei Positionen neu besetzt.,positive
"Die ZfK gibt einen Überblick, welche Chancen KWKG-Verlängerung, EnWG-Novelle, Biogaspaket und andere Energiegesetze noch vor der Neuwahl haben.",positive
In Südbaden schließen sich elf Kommunen zusammen.,positive
Medien berichten unterdessen über eine bislang geheime Order der israelischen Armee.,
"Wie viele nordkoreanische Soldaten an der Seite Russlands gegen die Ukraine kämpfen, ist unklar.",
"Hersteller dürfen solche Geräte ab heute in der EU nur noch dann neu auf den Markt bringen, wenn sie eine USB-C-Ladebuchse haben.",
Jenseits der Top Ten gibt es auffällige Aufsteiger und Absteiger.,
"Cali, Baku, Busan: Zuletzt reihte sich eine Umweltkonferenz an die nächste.",
"Nicht viel, sagt Forscher Hans-Otto Pörtner.",
Kriegsende in der Ukraine binnen 24 Stunden nach seinem Wahlsieg - von diesem Wahlversprechen Trumps ist inzwischen keine Rede mehr.,
Zehn Jahre lang regierte er das Land.,
Nun hat sich Präsident Putin bei seinem aserbaidschanischen Amtskollegen Aliyev entschuldigt.,
"Von einem Abschuss sprach Putin nicht - gab aber zu, dass die Flugabwehr aktiv war.",
Vielerorts in Deutschland steht die Luft derzeit still.,
Bis Silvester könnte dies noch anhalten.,
"Der russische Geheimdienst FSB erklärte, Tötungspläne des ukrainischen Geheimdienstes vereitelt zu haben.",
Israels Luftabwehr hat nach eigenen Angaben erneut eine Rakete aus dem Jemen abgeschossen.,
"Nun will der designierte US-Präsident Trump, dass das Oberste Gericht des Landes ihm Zeit für eine Lösung gibt.",
"Wie viele nordkoreanische Soldaten an Russlands Seite gegen die Ukraine kämpfen, ist unklar.",
Das italienische Außenministerium bemüht sich um ihre Freilassung.,
Laut Correctiv-Recherche haben sich Politiker der AfD offenbar in der Schweiz mit Neonazis getroffen.,
Ein Abgeordneter soll für Jobs im Bundestag geworben haben.,
Nach der Todesfahrt in Magdeburg wird die Rolle von Behörden und Polizei aufgearbeitet.,
CDU-Chef Merz fordert derweil einen härteren Migrationskurs.,
Zwar laufen die Ermittlungen zur Ursache des Flugzeugabsturzes in Kasachstan noch.,
"In Deutschland halten sich laut Bundesregierung mehr als 15.000 Personen auf, die für ihr Asylverfahren bereits in ein anderes EU-Land überstellt worden waren.",
Das führt die Deutsche Bundesbank in einer Studie zum Zahlverhalten an.,
"""Get Brexit done"" hieß einst das Versprechen der Konservativen.",
"Im Fokus der Ermittlungen: Ein Öltanker, der zu Russlands sogenannter Schattenflotte gehören könnte.",
Finnland geht von einem Sabotageakt aus.,
Zwischen Estland und Finnland ist ein Unterseekabel ausgefallen.,
Die Verbindung mit dem Namen EstLink 2 wurde vom Netz genommen.,
"Für das britische Königshaus war 2024 ein schwieriges Jahr, geprägt von schweren Erkrankungen.",
In seiner Weihnachtsansprache bedankte sich König Charles III. beim medizinischen Personal - an einem symbolischen Ort.,
"Kriege in der Ukraine und im Nahen Osten, Terrorismus, Klimawandel: Die Weihnachtsbotschaft von Papst Franziskus stand unter dem Eindruck der vielen weltweiten Krisen.",
Am ersten Weihnachtsfeiertag hat Russland die Ukraine massiv aus der Luft angegriffen.,
Mit rund 70 Raketen und mehr als 100 Angriffsdrohnen wurden vor allem ukrainische Energiequellen attackiert.,
Schon zum dritten Mal erlebt die Ukraine ein Weihnachten im Krieg.,
Hoffnung in die Welt zu tragen - das hat Papst Franziskus in diesem Jahr den Gläubigen bei der traditionellen Christmette gepredigt.,
"Ein Wunsch, der auch das Heilige Jahr 2025 prägt, das der Pontifex zuvor eröffnet hatte.",
Viele Jahre lang war die schwere Bronzetür im Petersdom verschlossen - nun ist sie wieder geöffnet:,
Papst Franziskus hat das Heilige Jahr 2025 eingeläutet.,
Heftige Schneefälle haben für Chaos in Bosnien und Kroatien gesorgt.,
Am Rande eines Fußballspiels zwischen Amsterdam und dem israelischen Verein Maccabi Tel Aviv war es im November zu gewaltsamen Übergriffen gegen Fans der Gastmannschaft gekommen.,
Ein russisches Handelsschiff ist im Mittelmeer gesunken.,
Bis zu 40 Prozent der Fläche der Ukraine könnten vermint sein.,
Beim letzten EU-Gipfel des Jahres ging es abermals um Hilfe für die Ukraine.,
Vor dem Amtsantritt von Trump war das Thema besonders dringlich.,
Aber auch die Lage in Syrien stand auf der Agenda.,
Immer vor Weihnachten veranstaltet,
"Syrien, der Krieg gegen die Ukraine oder die niedrige Geburtenrate - darum ging es in diesem Jahr.",
Auf dem letzten EU-Gipfel des Jahres geht es vor allem um die Sicherheit der Ukraine - die heute als auch die nach einem Waffenstillstand.,
Bekannt siegessicher zeigte sich Russlands Präsident vor ausgewähltem Publikum.,
"Aus Kursk werde man ukrainische Soldaten ""hinauswerfen"", ""Oreschnik""-Raketen eventuell weiter einsetzen.",
In Syrien haben mutmaßliche Anhänger des gestürzten Diktators Assad 14 Polizisten getötet.,
Für das Assad-Regime war der Handel mit Drogen eine wichtige Einnahmequelle.,
Nun vernichteten sie einen großen Fund in Damaskus.,
Etwa drei Millionen syrische Flüchtlinge leben in der Türkei.,
"Die Regierung in Ankara will, dass die meisten von ihnen wieder in ihre Heimat zurückkehren.",
Seit dem Assad-Sturz sind zuletzt so viele Syrer ausgereist wie seit Jahren nicht.,
Der Umbruch in Syrien wirkt sich auf den ganzen Nahen Osten aus.,
"Im Iran hoffen viele, dass sich nun Grundlegendes ändert.",
Alle bewaffneten Gruppen in Syrien sollen ihre Auflösung bekanntgeben:,
Das hat Milizenchef al-Scharaa öffentlich angekündigt.,
Außerdem will er den Einfluss im Libanon zurückfahren.,
Nach dem Sieg über das Assad-Regime müssen die Rebellen einen neuen Staat aufbauen.,
"Der Syrien-Experte André Bank beschreibt die Probleme, vor denen die Rebellen dabei stehen.",
Fast zwei Wochen nach dem Sturz von Machthaber Assad hat die neue syrische Führung ein wichtiges politisches Amt besetzt.,
In einem Lager in Nordostsyrien sitzen zehntausende IS-Anhänger mit ihren Familien ein.,
In den Kurdengebieten haben die Menschen Angst.,
"Die USA haben nicht 900, sondern 2.000 Soldaten in Syrien - und das war auch schon lange vor dem Sturz des Assad-Regimes so, wie das Pentagon nun mitteilte.",
"Israel hat den Flughafen von Jemens Hauptstadt Sanaa angegriffen, wo sich gerade eine Delegation um WHO-Chef Tedros aufhielt.",
Er und weitere UN-Vertreter blieben unverletzt.,
Nach Angaben der Huthi-Miliz wurden drei Menschen getötet.,
Opulente Feiern gibt es auch dieses Weihnachten in Bethlehem nicht.,
Noch immer spürt auch das Westjordanland die Auswirkungen des Gaza-Kriegs.,
Doch der katholische Patriarch Pizzaballa will sich die Zuversicht nicht nehmen lassen.,
Setzt Israel im Gazakrieg die Einschränkung der Wasserversorgung als Kriegswaffe,
Die israelischen Behörden streiten dies ab.,
Die Golanhöhen gehören laut internationalem Recht zu Syrien.,
Seit Jahrzehnten hält Israel das Gebiet besetzt.,
Aus der arabischen Welt kommt Kritik.,
"Während das Verfassungsgericht die Amtsenthebung des suspendierten Präsidenten Yoon überprüft, hat das südkoreanische Parlament nun auch Interimspräsident",
Nach Präsident Yoon wurde nun auch sein Vertreter Han durch eine Parlamentsabstimmung des Amtes enthoben.,
Der Finanzminister soll die Staatsgeschäfte übernehmen.,
Nach dem Absturz eines Flugzeugs in Kasachstan bleibt die Frage nach der Ursache des Unglücks.,
"Nun wird auch in den USA und Deutschland der Verdacht geäußert, die Maschine könnte versehentlich Ziel der russischen Armee geworden sein.",
Seit mehr als einem Monat befindet sich der renommierte algerisch-französische Schriftsteller Sansal in Algerien in Haft.,
Wurde Sansal ein Interview zum Verhängnis?,
"Nachdem Zyklon ""Chido"" bereits auf der französischen Insel Mayotte Verwüstungen hinterlassen hatte, traf er auch das afrikanische Festland.",
Behörden gehen inzwischen von mehr als 100 Opfern in Mosambik und Malawi aus.,
Auf Mayotte läuft die Suche nach Überlebenden des verheerenden Wirbelsturms weiter.,
Frankreichs Präsident Macron versprach bei seinem Besuch den Wiederaufbau.,
"Wirbelsturm ""Chido"" hat auch in Mosambik verheerende Schäden angerichtet.",
Auf der Insel Mayotte dauern derweil die Hilfs- und Bergungsarbeiten an.,
"Nach dem verheerenden Wirbelsturm ""Chido"" laufen auf der französischen Insel Mayotte die Rettungsarbeiten.",
Helfer suchen nach Überlebenden.,
Die Zahl der Toten ist unklar - aber es könnten Tausende sein.,
"Die Folgen des Wirbelsturms ""Chido"" auf der Inselgruppe Mayotte im Indischen Ozean sind offenbar dramatisch schlimmer als zunächst angenommen.",
Es könnte Hunderte Todesopfer geben.,
"Durch den Wirbelsturm ""Chido"" sind auf der Inselgruppe Mayotte mehrere Menschen ums Leben gekommen.",
Viele Häuser in Armenvierteln wurden zerstört.,
Die Inselgruppe vor der afrikanischen Ostküste gehört zu Frankreich.,
Die größte Abschiebung in der Geschichte der USA - damit will Trump gleich nach Amtsübernahme beginnen.,
Hat die US-Regierung die Kapazitäten dafür?,
An der US-Westküste sorgen starke Stürme für Lebensgefahr.,
In Santa Cruz südlich von San Francisco brach ein Teil des Piers ab.,
"Während Trump sich auf den Einzug ins Weiße Haus vorbereitet, müssen sich die US-Demokraten um Kamala Harris nach ihrer Niederlage aufrappeln.",
Jedes Jahr verfolgt das US-Luftverteidigungskommando den Weihnachtsmann auf seiner Reise vom Nordpol über den Globus in die Wohnzimmer.,
Eigentlich wollte Trump Matt Gaetz zum Justizminister machen.,
Nun erhebt der Ethikausschuss des US-Kongresses schwere Vorwürfe gegen den Republikaner.,
"Es geht um Drogen, Prostitution und Sex mit Minderjährigen.",
Der in den USA wegen Mordes an einem Versicherungschef angeklagte Verdächtige hat auf nicht schuldig plädiert.,
Die meisten Länder haben die Todesstrafe längst abgeschafft - in den USA ist sie noch möglich.,
Daher hat US-Präsident Biden nun Dutzende Urteile in Haftstrafen umgewandelt.,
Denn Nachfolger Trump will die drakonische Strafe sogar ausweiten.,
Vor 25 Jahren hat Panama den Kanal von den USA übernommen.,
"Nun droht der künftige US-Präsident Trump damit, die Kontrolle über die Wasserstraße wieder an sich zu reißen.",
"Der Grund: Panama betreibe ""Abzocke"" bei den Gebühren.",
"Burt war der heimliche Star des Film-Klassikers ""Crocodile Dundee"".",
Nun ist das Salzwasserkrokodil gestorben.,
Die rund 100 Auslands-Korrespondentinnen und Korrespondenten sind das Rückgrat der ARD-Nachrichtensendungen.,
"Richard Perry arbeitete mit Musikgrößen wie Rod Stewart, Barbra Streisand und Ringo Starr zusammen.",
Bekannt war er auch als Lebensgefährte von Jane Fonda.,
"Sie kam bis auf 6,1 Millionen Kilometer an den Fixstern heran.",
Jetzt ist der Kilauea auf Hawaii erneut ausgebrochen - zum dritten Mal in diesem Jahr.,
Noch ist er nicht US-Präsident - doch schon meldet sich Trump mit bizarren außenpolitischen Ideen zu Wort.,
Nach dem Panamakanal will er nun auch erneut die Kontrolle über Grönland haben.,
Ein neuer #MeToo-Fall in Hollywood?,
Nach den Dreharbeiten zu einem Film über häusliche Gewalt hat Darstellerin Lively ihren Co-Star Baldoni wegen sexueller Belästigung verklagt.,
Baldoni äußerte sich bislang nicht.,
"Von Mäßigung keine Spur: Der künftige US-Präsident Trump hat für seine Amtszeit einen Kampf gegen ""Transgender-Irrsinn"" und die ""Besetzung"" durch Migranten angekündigt.",
Das Verbot der umstrittenen App TikTok will er aber wohl verhindern.,
An der kolumbianischen Pazifikküste kämpfen ganze Dörfer gegen Überschwemmungen und die Abholzung.,
Im letzten Moment ist in den USA der Shutdown abgewendet worden:,
Nach dem US-Repräsentantenhaus verabschiedete auch der Senat einen Übergangshaushalt.,
Der designierte Präsident Trump und sein Berater Musk hatten den Haushaltsstreit zu einer Zitterpartie gemacht.,
Ihm werfen die Demokraten Egoismus vor.,
US-Milliardär Musk hat sich auf seiner Plattform X erneut als Anhänger der AfD positioniert.,
Die Bestätigung des Wahlergebnisses in Mosambik hat im Land erneut schwere Unruhen ausgelöst.,
Seit April 2023 herrscht im Sudan ein blutiger Machtkampf zwischen dem Machthaber al-Burhan und dessen früherem Vize Daglo.,
Eine mysteriöse Erkrankung mit mehr als hundert Toten in der Demokratischen Republik Kongo hatte Sorge ausgelöst.,
Im Sudan herrscht nach wie vor die weltweit größte humanitäre Krise.,
Hunderte Kranke und viele Todesfälle in Zentralafrika:,
Nun konnte die WHO in zahlreichen Proben Malaria nachweisen.,
Vor zwei Wochen hatte der Tschad überraschend das Militärbündnis mit Frankreich gekündigt.,
Jetzt wurden erste Kampfjets aus dem afrikanischen Land zurück in die Heimat geschickt.,
Bei der Präsidenten- und Parlamentswahl in Ghana deutet sich ein Machtwechsel an.,
"Noch liegt kein endgültiges Wahlergebnis vor, doch die Regierungspartei NPP hat schon ihre Niederlage eingeräumt.",
"Im Süden Afrikas herrscht eine brutale Dürre, dieses Jahr hat es kaum geregnet.",
Im Kongo gibt es nach dem Mpox-Ausbruch eine weitere mögliche Epidemie:,
Die Lage im Sudan gilt als größte humanitäre Katastrophe der Welt.,
Er regierte Indien von 2004 bis 2014 und galt als Architekt der wirtschaftlichen Öffnung des Landes:,
Nun ist Manmohan Singh in Neu-Delhi gestorben.,
Wurde die Passagiermaschine der Azerbaijan Airlines in Kasachstan von der russischen Flugabwehr abgeschossen?,
Was führte zum Absturz des Flugzeugs in Kasachstan?,
Etwa 230.000 Menschen starben durch den Tsunami im Indischen Ozean.,
Die Huthi-Miliz im Jemen setzt weiter auf Aggression gegen Israel und dessen Verbündete.,
"Im Land aber schwelt die Sorge, zu einem zweiten Libanon oder Gazastreifen zu werden.",
"Etwa 230.000 Menschen starben, unter ihnen auch Hunderte Deutsche.",
Jennifer Johnston hat Überlebende getroffen.,
Mehr als 30 Menschen sind beim Absturz eines aserbaidschanischen Flugzeugs in Kasachstan gestorben.,
In der Weihnachtsnacht haben sich Mönche mit einer Schriftrolle mit mehr als 100.000 Namen auf den Weg von Jerusalem nach Bethlehem gemacht.,
"Eine Tradition, die trotz des Krieges weiterlebt - und durch ihn neue Bedeutung erfährt.",
Vor fast zwei Jahren erschütterten schwere Erdbeben die Türkei.,
Zehntausende starben.,
Nun sind der Besitzer und der Architekt wegen Pfuschs am Bau zu Haftstrafen verurteilt worden.,
Das pakistanische Militär hat Luftangriffe im benachbarten Afghanistan geflogen.,
Laut pakistanischen Sicherheitskreisen wurden Stellungen der pakistanischen Taliban angegriffen.,
Nach dem schweren Erdbeben im Südpazifik suchen Rettungskräfte auf Vanuatu weiter nach Überlebenden.,
Australien und Neuseeland kündigten Hilfe an.,
"Der südpazifische Inselstaat Vanuatu wurde von einem Erdbeben der Stärke 7,3 erschüttert.",
Im Internet veröffentlichte Aufnahmen zeigen schwere Schäden an Gebäuden.,
Soziale Medien gefährden aus Sicht der australischen Regierung das Wohlergehen von Kindern und Jugendlichen.,
Zehntausende Menschen haben sich in der neuseeländischen Hauptstadt Wellington zu Protesten versammelt.,
"Sie fürchten, dass die indigenen Maori mit einem neuen Gesetz lange bestehende Rechte verlieren könnten.",
Stammeskriege sind Alltag in Papua-Neuguinea.,
Jahrzehntelang wurden in Neuseeland,
Australiens Regierung will Jugendliche gesetzlich vor zu frühem Social-Media-Konsum schützen.,
"Plattformen wie etwa Facebook, Instagram und TikTok sollen erst ab 16 Jahren zugänglich sein.",
Überprüfen sollen das die Tech-Konzerne.,
Die Antarktis-Kommission soll den Schutz bedrohter Tierarten im Südpolarmeer eigentlich stärken.,
Doch die Staaten konnten sich bei einer Konferenz wieder nicht auf neue Schutzgebiete einigen.,
Bei einem Besuch des britischen Königs Charles III. und seiner Frau Camilla in der australischen Hauptstadt Canberra gab es zunächst einen herzlichen Empfang.,
Der britische König Charles tritt seine erste große Auslandsreise seit seiner Krebsdiagnose an.,
Er reist nach Australien - dort wird er nicht nur mit offenen Armen empfangen.,
Sie sehen aus wie Pferdeäpfel - sind jedoch aus Erdöl und damit gefährlich für Umwelt und Gesundheit.,
In Sydney werden seit gestern Tausende schwarze Kugeln angespült.,
"Es ist eine unberührte Region: Vulkane und Gletscher - Pinguine, Robben und Albatrosse leben dort.",
Nun hat die Regierung Australiens das Meeresschutzgebiet der Heard- und McDonald-Inseln massiv vergrößert.,
"Zunge raus, Augen aufreißen und zu lautem Gesang mit den Händen rhythmisch auf die Schenkel schlagen: Das ist der Haka, das eindrucksvolle Tanzritual der neuseeländischen Maori.",
In Auckland tanzten ihn 6.531 Menschen - ein neuer Weltrekord.,
Auf seiner Asien-Pazifik-Reise hat Papst Franziskus auch in Papua-Neuguinea zu Gast.,
"Australien hat ein neues Gesetz zum ""Recht auf Abschalten"":",
Seit vergangenem Jahr sind in einem australischen Nationalpark lebende Wildpferde zum Abschuss freigegeben.,
Es ist eines der großen Naturwunder: das Great Barrier Reef vor Australien.,
Bundesverteidigungsminister Pistorius ist für eine Woche im Asien-Pazifik-Raum unterwegs.,
Ein Thema auf seiner Reise wird vor allem der Umgang mit dem immer aggressiver auftretenden China sein.,
"In Papua-Neuguinea hat es nach Angaben der Vereinten Nationen Angriffe auf mehrere Dörfer gegeben - offenbar mit mindestens 26 Toten, unter ihnen auch zahlreiche Kinder.",
Der UN-Menschenrechtskommissar Türk zeigte sich entsetzt.,
In Australien findet ein riesiges Militärmanöver statt - und auch die deutsche Luftwaffe ist beteiligt.,
Dabei geht es vor allem um ein politisches Signal aufgrund der zunehmenden Spannungen in der Region mit China.,
Nach enttäuschenden Dezemberwochen hat laut Handelsverband das Weihnachtsgeschäft in der letzten Adventswoche Fahrt aufgenommen.,
"Wenn das Christkind mit dem Geschenk danebenlag, geht es nach den Feiertagen ums Umtauschen.",
"Warum das so ist, zeigt ein Besuch im brandenburgischen Premnitz.",
"Die Vorsitzende des Sachverständigenrats Wirtschaft, Schnitzer, befürchtet einen Reformstau, sollte es im Bund eine Große Koalition geben.",
Es gebe viele inhaltliche Differenzen zwischen Union und SPD.,
Das kommende Jahr bringt nicht das Ende der Krise:,
Das antworten fast 50 Wirtschaftsverbände in einer Umfrage des Instituts der deutschen Wirtschaft.,
"Denn gerade Fachkräfte würden händeringend gesucht, so Handwerkspräsident Dittrich.",
Für Parfum wird mehr Geld ausgegeben denn je.,
"Kleine Marken und individuelle Düfte verbreiten sich rasant, auch dank Künstlicher Intelligenz.",
Einer neuen Studie zufolge hängt die Spendenbereitschaft auch mit parteipolitischer Neigung und Alter zusammen.,
Zu Weihnachten gehört Schokolade für viele Menschen dazu.,
Ein Schweizer Start-up arbeitet an einer Alternative:,
Kakaopulver aus dem Bioreaktor.,
"Vor allem energieintensive Branchen könnten wegen der hohen Kosten ihre Produktion ins Ausland verlagern, so die Wirtschaftsverbände.",
Zum 1. Januar steigt der CO2-Preis von 45 auf 55 Euro pro Tonne.,
"Das könnte sich auf die Preisentwicklung bei Benzin, Diesel, Heizöl und Erdgas auswirken.",
"Wenige Tage nachdem der insolvente Flugtaxi-Hersteller Lilium seinen Mitarbeitenden gekündigt hatte, gibt es doch noch einen Investor.",
Das bayerische Unternehmen kann nun den ersten Flug planen.,
Die politischen Krisen vermiesen die Stimmung im Weihnachtsgeschäft - bei den Kunden im Einzelhandel und deshalb auch bei den Händlern.,
Ab 2025 müssen Eigentümer von Häusern und Grundstücken die neue Grundsteuer zahlen.,
Doch viele Kommunen verschicken die Bescheide erst im neuen Jahr.,
Die japanischen Hersteller Honda und Nissan verhandeln schon länger über einen Zusammenschluss - nun sind die Gespräche offiziell.,
"Es könnte der drittgrößte Autokonzern der Welt entstehen, an dem auch Mitsubishi beteiligt ist.",
Laut Zentralbank-Präsidentin Christine Lagarde nähert sich die EZB ihrem Ziel einer Inflationsrate von zwei Prozent.,
Die deutsche Wirtschaft hat mit vielen Problemen zu kämpfen.,
"Deshalb erwartet die Wirtschaftsweise Grimm, dass 2025 die Zahl der Arbeitslosen steigen könnte.",
"BMW hat bestätigt, dass vom Standort Hannover aus Autos nach Russland geliefert wurden - trotz bestehender Sanktionen.",
Interne Kontrollen hatten das aufgedeckt.,
"Manche können sich Geschenke kaum leisten, andere stehen vor Luxusläden Schlange.",
"In Deutschland sind aktuell etwa neun Millionen Frauen in den Wechseljahren, ein Drittel von ihnen hat mit starken Beschwerden zu kämpfen.",
Deutschlands größter Immobilienmakler Engel & Völkers steht im Verdacht der Scheinselbstständigkeit von freiberuflichen Maklern.,
Ausgerechnet vor Weihnachten wird in britischen Kneipen das beliebte Guinness-Bier knapp.,
Woran das liegt und was der US-Star Kim Kardashian mit dem Engpass zu tun haben könnte.,
Die Europäische Zentralbank hat die Leitzinsen erneut gesenkt.,
