English,Unnamed: 1
The Biden administration has been caught by surprise when partners like South Korea and Israel have acted against U.S. interests and principles.,negative
Finland seized an oil tanker after the latest in a series of disruptions to undersea infrastructure.,negative
"The assault killed at least four people and injured 21 others, the state news agency in Yemen reported.",negative
The strikes came after a week of attacks by the Iran-backed militia.,negative
Russian aviation authorities said the Azerbaijan Airlines plane had hit a flock of birds.,positive
"But some experts cast doubt on that account, pointing to footage showing apparent holes in the fuselage.",negative
"Surprised by Oct. 7 and fearful of another attack, Israel weakened safeguards meant to protect noncombatants, allowing officers to endanger up to 20 people in each airstrike.",negative
One of the deadliest bombardments of the 21st century followed.,negative
"The prosecutors asserted that Ko Wen-je, a former mayor, took bribes.",negative
He and his supporters have maintained that the charges are a political vendetta.,negative
"In a year marked by wars, extreme weather and general wickedness, many dispatches defaulted to a distinctly dark tone.",
"But as our correspondents traversed the globe, they found pockets of light, too.",
"The congregation in Nairobi, Kenya, has been forced to move to 10 different locations over 10 years, and yet it has survived as a sanctuary in an increasingly hostile environment.",
"After 20 months of war, and three months of negotiations with the warring sides, a bit of relief arrives for some of the hundreds of thousands of people facing famine.",
Israel and Hezbollah have exchanged strikes and accusations of breaches.,
Implementation of the deal has been slow.,
But the truce has brought some calm to a tumultuous region.,
"In his first term, Donald Trump denigrated African nations, but leaders there are hopeful his return will bring more investment and less pressure to uphold democracy and human rights.",
More than 250 people have died in this southern African nation as protesters disputing the results of the presidential election clash with the police and military.,
Experts said they were “blind” to the Indian Ocean tsunami in 2004.,
"Twenty years later, working toward a world without tsunami deaths is a challenge.",
"Trapped in Sudan’s brutal civil war, a young woman chose to work in a clinic on the front line, treating civilians and combatants.",
She had to navigate suspicion from both sides.,
"In the ruins left by Cyclone Chido, people from Mayotte, off the eastern coast of Africa, are calling to deport the undocumented immigrants who had settled there from neighboring islands.",
"Hundreds of buildings were damaged or looted, including schools and hospitals, in a wave of unrest after Daniel Chapo was confirmed as the winner of the presidential election.",
A ruling on Monday confirming that Daniel Chapo had won a disputed election has sparked protests and violence.,
"The decision paves the way for the governing party’s candidate to take office next month, but the country is on edge because earlier protests after the election left more than 100 people dead.",
"Our reporter went to Congo, where the mpox epidemic has reached the teeming capital, infecting children and their mothers, who sell sex to survive.",
"In the West African nation of Niger, killings by insurgents have surged since the military seized power in a coup, expelled U.S. and European troops and stopped negotiations with Islamist groups.",
"Officials have said that the death toll in Mayotte, currently at 35, could end up in the thousands.",
"But in the capital, there were no scenes of public mourning and little talk of searches for missing loved ones.",
The swirling wind and rain hit an area where a yearslong insurgency had already forced hundreds of thousands of people to flee their homes.,
"The U.S. provides nearly half of the aid for global health, including childhood vaccination, H.I.V. treatment and disease surveillance.",
New York Times reporters witnessed the dangerous fentanyl production process inside a secret lab in Culiacán run by Mexico’s most powerful criminal syndicate.,
"On a trip to Colombia to see the Netflix production of “One Hundred Years of Solitude,” a reporter was struck by memories of real places.",
"Steered by an entrepreneurial chief, Membertou First Nation in Nova Scotia led the largest investment by Indigenous people in Canada’s seafood industry.",
President-elect Donald J. Trump has threatened to impose tariffs on Canadian exports unless the country stops the flow of migrants and fentanyl to the U.S.,
A decade since the United States and Cuba restored diplomatic relations — which many believed would transform the island — Cuba is in its worst crisis since Fidel Castro took power.,
"Treaties ratified by the Senate in 1978 established permanent neutrality, but some Republicans regret that decision.",
"The selection of Mr. Cabrera, a Miami-Dade County commissioner, comes a few days after Mr. Trump called for the United States to regain control of the Panama Canal.",
He took power in a military coup in 1980 and later served as the country’s president.,
He was also convicted of ordering the murder of 15 political opponents.,
"In southern Mexico, a city dazzles with a celebration of its rich culture and history through a radish-carving competition, a cherished tradition upheld by generations of families.",
Two journalists and a police officer died and at least seven others were wounded in the shooting before the reopening of a hospital wing in Port-au-Prince.,
"At least 17 on the ground were hurt, officials said.",
"A group of missionaries who surf have expanded to a remote part of Costa Rica, where people come from afar looking for the “perfect wave.”",
And maybe a little Jesus?,
"Chrystia Freeland’s departure this week recalls the 2019 SNC-Lavalin affair, in which Jody Wilson-Raybould quit Prime Minister Justin Trudeau’s cabinet after a demotion.",
Canada’s prime minister gained global renown 10 years ago for his unabashedly progressive politics.,
"But at home, voters turned sour on him long ago.",
"A popular restaurant in Buenos Aires is staffed almost entirely by workers with neurological challenges, tapping into often-overlooked talent and harnessing their skills.",
"The authorities said at least 160 children and teenagers might have been the victims of human trafficking and other crimes on a farm run by Lev Tahor, an ultra-Orthodox sect.",
"Canadian ministers will convene a meeting with the police to discuss antisemitism, after attacks at Jewish establishments in Toronto and Montreal this week.",
A Jeju Air passenger jet carrying 181 people from Bangkok sped off the runway and burst into flames.,
Two crew were rescued in what was the country’s worst air disaster in decades.,
"A plane carrying 181 people crashed while landing, killing most on board.",
Officials were investigating a possible malfunction with the landing gear and a bird strike.,
"Nearly 200 airlines use the 737-800, which makes up about 15 percent of the world’s fleet of aircraft.",
"With the war now over, the Taliban are welcoming foreign travelers, even as governments advise their citizens to stay away.",
"After two impeachments of leaders in two weeks, the country is deep into a political crisis.",
"Severely disfigured when the United States dropped an atomic bomb on Japan, she spent her life warning others about the dangers of nuclear war.",
Business leaders in Mexico say the incoming U.S. administration will enhance the appeal of their factories as an alternative to plants in China.,
"Brutally persecuted for years by the military in Myanmar, the Rohingya ethnic minority has now become the target of one of the junta’s most formidable rivals in the country’s civil war.",
American officials are wary as they try to persuade the rebels now in control in Syria to govern with an inclusive and moderate hand.,
He built Suzuki Motor into a Japanese global brand making small vehicles and motorcycles.,
Entering India’s market in the 1980s was one of his early successes.,
The vote was the second major impeachment in two weeks after President Yoon’s ill-fated martial law bid set off turmoil.,
The country’s currency has plunged.,
He won acclaim from critics and audiences even as the gritty stories he put on the big screen grappled with some of India’s thorniest problems.,
"The country’s first Sikh prime minister, he introduced free-market reforms that turned India into an economic powerhouse and sought reconciliation with Pakistan.",
The Biden administration has been caught by surprise when partners like South Korea and Israel have acted against U.S. interests and principles.,
Russian aviation authorities said the Azerbaijan Airlines plane had hit a flock of birds.,
"But some experts cast doubt on that account, pointing to footage showing apparent holes in the fuselage.",
"The Apple supplier has spent millions in the United States, India and Mexico over the past two years to lessen its dependence on China.",
The leader of Azerbaijan criticized the Russian response to the crash of a passenger jet that Azerbaijani officials said had most likely been hit by Russian air defenses.,
Marc Fogel was convicted of drug smuggling and sentenced in 2022 to 14 years in prison by the same court that handled the case of Brittney Griner.,
"The world’s richest man, a key adviser to President-elect Donald J. Trump, ridicules critics over his backing of the German extremist party AfD, as Germany prepares for elections.",
"His first novel, “Tanguy,” published when he was 24, was a fact-based Holocaust story that one reviewer said “begins where Anne Frank’s diary ended.”",
"One of Denmark’s greatest ballerinas, she toured widely — in London, Moscow and New York — and played a version of herself in a Disney TV production.",
"President Vladimir V. Putin of Russia told the Azerbaijani leader, Ilham Aliyev, in a phone call, “that the tragic incident took place in Russian airspace.”",
The danger and hardship gets worse by the day for civilians in eastern Ukraine.,
"Still, they resist leaving the places that have become their homes.",
The war with Hezbollah has cleared out the north of the country — save for a hardy few and their thousands of prized fish.,
Russia has assembled a fleet of hundreds of vessels to covertly ship its oil.,
"With so many ships at sea, the idea of using some to cause havoc may be proving irresistible to the Kremlin.",
"The country, which has one of Europe’s highest smoking rates, is also resisting a wider push for outdoor bans.",
"Flight attendants and a passenger described the moments before an Azerbaijan Airlines flight went down in Kazakhstan, killing dozens.",
Finland seized an oil tanker that authorities believe might have deliberately cut vital undersea cables.,
Finnish authorities believe the tanker may be linked to Russia.,
"The Embraer 190 was traveling to Grozny, Russia, but crashed near Aktau, Kazakhstan, killing 38 people onboard.",
Investigators are focusing on Russian air defense as the likely cause.,
"The long-range missiles provided by the United States and Britain were used to strike inside Russian territory, despite concerns that their use would escalate the conflict.",
Kyiv’s stockpiles are running out.,
"As the Gallagher brothers prepare for next year’s performances, Oasis covers bands are reaping the benefits with their own sold-out shows.",
A mysterious vessel in Finnish waters.,
"The bus, which was carrying more than 50 people, was partly submerged after leaving a road in the country’s northwest.",
"A Times investigation shows how extensively Israel penetrated the Lebanese militia, closely tracking the group’s commanders and culminating in the assassination of its leader, Hassan Nasrallah.",
Finding the remnants of the old dictatorship and bringing them to justice has emerged as a top priority for the new administration in Syria.,
"Cecilia Sala, 29, was arrested on Dec. 19, but news of her detention only became public on Friday.",
"The reason for the arrest of Ms. Sala, a well-known reporter, has not been made public.",
"The hospital, Kamal Adwan, has been caught in the middle of Israel’s monthslong offensive against Hamas militants in northern Gaza.",
Sixteen young people evacuated from Gaza for treatment of dire injuries.,
"Months later, they face new lives in an unfamiliar country.",
"Amid an outcry for justice and accountability and threats online, a once-dominant group is feeling deep anxiety after the ouster of Syria’s dictator.",
Syria’s new government is searching for a senior official from the Assad dictatorship and for military forces loyal to the ousted president.,
"The assault killed at least four people and injured 21 others, the state news agency in Yemen reported.",
The strikes came after a week of attacks by the Iran-backed militia.,
"Surprised by Oct. 7 and fearful of another attack, Israel weakened safeguards meant to protect noncombatants, allowing officers to endanger up to 20 people in each airstrike.",
One of the deadliest bombardments of the 21st century followed.,
The Israeli military said it had struck a vehicle containing a “terrorist cell” in the Nuseirat area of Gaza.,
Jews around the globe lit the first of eight candles on Wednesday and came together to celebrate and reflect on their history.,
The dispute highlights the difficulties with data collection in Gaza that have hampered humanitarian efforts since the war began.,
A civilian team at a base in Maryland disposed of Syrian toxins a decade ago after hundreds of people were killed in a nerve agent attack.,
"As the fighters who ousted Bashar al-Assad set out to assert control over the country, they pursued former government forces loyal to the Assad regime, resulting in deadly clashes in parts of the country.",
"As the rebels who ousted Syria’s longtime dictator, Bashar al-Assad, transition from insurgents to administrators, maintaining order in the streets of the capital has become a top priority.",
"The ancient Christian community in the coastal city of Tyre has little cause for celebration this year, with many mourning their dead and still rattled by months of Israeli bombardment.",
The protests in Damascus broke out after footage circulated online of an artificial Christmas tree on fire in a mostly Christian town as masked men stand around it.,
"Five people were found guilty of crimes, including public violence, in relation to attacks targeting Israelis in Amsterdam last month.",
"Israel said it had repelled an attack, which came hours after Israel’s defense minister vowed to “behead” the Yemeni group’s leadership.",
"Some say that the community is in danger of losing its 1,600-year foothold in the enclave and that it is far from certain those who have fled will ever feel safe enough to return home.",
"Pledging to secure the release of hostages held in Gaza by any means necessary, Prime Minister Benjamin Netanyahu of Israel said, “I don’t know how long it will take.”",
Ministers from Jordan and Qatar were among the first high-ranking Arab diplomats to meet with the leader of the rebel coalition that toppled the Syrian regime.,
"As Christmas nears, New York Times journalists send dispatches from places like Santa Claus, Ind., and North Pole, N.Y.",
"Gangs are filling a power vacuum left by Israel in some parts of southern Gaza, hijacking desperately needed aid for Palestinian residents.",
"More than 9,000 flights were delayed on Saturday amid threats of rain, snow and tornadoes across the country.",
The extended Craig family has suffered an unthinkable loss after landslides slammed into their North Carolina town during Hurricane Helene.,
The survivors are trying to move forward.,
"There was a healthy dose of skepticism in Butte, Mont., when Hollywood producers began showing up to shoot their shows.",
"Now, many say the industry’s arrival has been a boon for the city.",
Businesses will not have to reveal their owners after an appeals court reversed a move that would have forced them to disclose the information by Jan. 1.,
"Frank Kendall, who grew up on an apple farm and then rose to the pinnacle of the U.S. military, has preached the need for better preparation for the next big fight.",
"Ms. Haddon, who carved a path all her own in the modeling world, was found dead on Friday morning from what authorities believed was a carbon monoxide leak.",
"In 2020, he moved to ban the Chinese-owned app.",
"Now, he is opposing the Biden administration’s effort to do just that.",
"A tornado that touched down in Brazoria County struck some homes and other structures on Saturday, the authorities said.",
"It was a day of tornado warnings in Texas, Louisiana and Mississippi.",
The Biden administration’s consideration of three proposed tribal casinos in California and Oregon has touched off a fierce debate about tribal sovereignty and land rights.,
"They talk about the historic moments they captured that defined the year — the migrant crisis, the war in Ukraine, arctic war training and hostage returns.",
"The identity of the jackpot winner was not immediately known, but lottery officials in California are expected to reveal it.",
"The person, who boarded the flight without a ticket, was detected as the plane was preparing to take off for Hawaii on Christmas Eve.",
"The president-elect took no position on the app’s First Amendment challenge to the law, which sets a Jan. 19 deadline to sell or close the popular platform.",
"The building, now boarded up, was made famous when it was featured on the cover of the 1970 album “Morrison Hotel.”",
"The North Korean losses amount to almost 10 percent of the country’s deployment to Russia, the Biden administration said.",
"The number of people experiencing homelessness in the U.S. topped 770,000, an increase of more than 18 percent over last year.",
"The settlements culminate a lengthy personal and legal odyssey for the first accuser, Alex Harrison, who was subsequently shunned by teammates and parents.",
"In an interview, Roy Cooper spoke about his legacy, how to appeal to Republicans and Democratic speculation that he might run for Senate or for president.",
"After a Supreme Court decision ended race-based admissions, some law schools saw a decline in Black and Hispanic students entering this fall.",
Harvard appeared to have the steepest drop.,
Dialogue is an essential part of college.,
"As anger over the war in the Middle East has brought upheaval to campuses, it has also become a key way schools try to reduce conflict.",
"On the test, American fourth and eighth graders posted results similar to scores from 1995.",
"It was a sign of notable stagnation, even as other countries saw improvements.",
"The desks came out of a dumpster, and the computers are hand-me-downs.",
But students say Abundance Academy is a haven from bullying and crowded classes.,
"Linda McMahon, whose résumé mainly rests on running World Wrestling Entertainment, has faced questions for years over whether she is suitable for important education posts.",
Stricter rules and punishments over campus protests seem to be working.,
"Universities have seen just under 950 protest events this semester, compared with 3,000 in the spring.",
Conservatives in Florida have moved from explosive politics to subtler tactics to uproot liberal “indoctrination” in higher education by removing subjects like sociology from core requirements.,
Linda McMahon is known for her many years in the wrestling world.,
"Though her education experience is more limited than previous secretaries, she has embraced both conservative and bipartisan ideas.",
"Florida’s star president, Ben Sasse, was among the best paid university presidents ever.",
"He promised a conservative overhaul, but then he resigned, leaving controversy and an embarrassing drop in the U.S. News rankings.",
School districts serving more than two million elementary-school children would be able to adopt a curriculum that draws on the Bible.,
Donald Trump has argued he would use the department to further his priorities — or close it.,
"But the agency has relatively limited power, and any plan to shutter it would face major hurdles.",
"In Chicago, the mayor and the teachers’ union are tightly connected.",
The relationship has ushered in generous spending and led to political turmoil.,
Democrats swept a school board election in Bucks County after Republicans instituted book bans and other changes.,
But the right-wing “parental rights” movement has left an indelible mark.,
"Universities have cracked down on professors for pro-Palestinian activism, saying they are protecting students and tamping down on hate speech.",
Faculty members say punishments have put a “chill in the air.”,
The university said Shai Davidai had repeatedly harassed and intimidated employees.,
He said the university had not done enough to crack down on pro-Palestinian protests.,
Columbia University Apartheid Divest has withdrawn an apology it made last spring for a member who said “Zionists don’t deserve to live.”,
The university made a deal with pro-Palestinian students last spring to consider their demands if they ended a protest encampment.,
But the university board voted against divestment.,
"Within Our Lifetime, a group formed by New York students, has galvanized pro-Palestinian activists who are calling for the end of Israel — and facing accusations of antisemitism.",
"The new system cut the number of students deemed “at risk” in the state by 200,000, leading to tough moral and ethical questions over which children deserve extra assistance.",
"A year of war in Gaza has left college students and faculty feeling shaken and angry, with the world and with each other.",
The bid details for new Bibles the state is buying seem to point to a version promoted by former President Donald J. Trump.,
"Hundreds of universities have lent their names to online programs, plugging budgets but alienating students who feel misled.",
Just 27 percent of public high schools in New York City have a newspaper.,
A local nonprofit is offering a solution.,
"Melissa Aviles-Ramos, a former English teacher and deputy chancellor, will assume the post after David C. Banks steps down in December.",
"The number of threats after a Georgia school shooting this month is much higher than usual, many officials said.",
"In response, some have cracked down with arrests and detention for children as young as 10.",
"The university has seen major drops in enrollment, even as the president invited students concerned about protests and antisemitism on other campuses to transfer.",
"Every year, U.S. News & World Report publishes rankings that often change very little, though they draw attention and frustration from universities and applicants.",
"The resignation of Mr. Banks, planned for the end of the year, comes amid a flurry of federal investigations into Mayor Eric Adams and his administration.",
"The report, commissioned by New York’s governor, found that the city’s university system was ill-equipped to handle rising antisemitism.",
But it also said the problem was not widespread.,
"The university’s president, Darryll J. Pines, who studies aerospace engineering, was accused of copying significant portions of a paper in 2002.",
Jonathan Holloway was Rutgers’ first Black president.,
He helped the university grow but also faced criticism and questioning in Congress over pro-Palestinian encampments on campus.,
"David C. Banks, whose phone was seized during an investigation related to his brother, largely avoided discussing his current circumstances in his annual State of Our Schools speech.",
The legal group that won a Supreme Court case that ended race-based college admissions suggested it might sue schools where the percentage of Asian students fell.,
"As the idea of incorporating the Bible into classrooms gains traction, concerns about the mission of public schools — and differences across the faith — have led even some conservative Christians to push back.",
Here is what we know about the effects of the Supreme Court’s decision curtailing race-based admissions at selective universities.,
And why many experts and administrators are baffled.,
"Defying expectations, a Supreme Court decision curtailing race-based admissions still had a relatively small impact at some highly selective schools like Harvard, even as other schools saw big changes.",
"Along with Harvard University, the University of North Carolina at Chapel Hill was one of two schools defending affirmative action in Supreme Court cases last year.",
"In an interview, Chancellor David C. Banks said migrants had helped schools that were bleeding students.",
He also promised a big new role for artificial intelligence.,
The plan would affect millions of borrowers struggling with runaway interest and others who were still paying off loans after decades.,
It was set to take effect this fall.,
"Pro-Palestinian demonstrations appeared at some U.S. campuses, but new restrictions and a new set of students may slow momentum for the type of mass protests seen in the spring.",
Amherst College and Tufts University saw drops in the number of Black students after a Supreme Court decision ending affirmative action.,
"At other schools, the picture is murkier.",
"Last year, the former president told the group it was time to “liberate our children from the Marxist lunatics and perverts” in education.",
Does that message still resonate with voters?,
The Supreme Court refused to allow a key part of President Biden’s student debt plan to move forward.,
"Here’s what’s left of it, and who could still benefit.",
"Pro-Palestinian protesters won council elections, and have refused to fund campus groups, like the men’s Ultimate Frisbee team, unless their divestment demands are met.",
"Districts and states across the United States have supported restrictions on student usage, but New York City’s leaders are backing away from the idea because of logistical concerns.",
Asian American students made up almost half of the 2028 class — the first admitted since the end of affirmative action.,
Nemat Shafik was vilified on almost all sides for her handling of the protests over the Israel-Hamas war.,
"When given an offramp, she took it.",
Dr. Katrina A. Armstrong replaces Nemat Shafik as president of one of the most turbulent campuses in America.,
"John F. Manning has served as interim provost since March, and is considered a top contender for university president.",
"In her four years at the state university, Maurie McInnis drew criticism from faculty members who said some of her decisions violated academic freedom.",
"The state superintendent, Ryan Walters, said the Bible was a “necessary historical document.”",
The mandate comes as part of a conservative movement to infuse Christian values in public schools.,
The lawsuit was filed a year after the Supreme Court struck down the use of racial and gender preferences in college admissions.,
"A donation from Bloomberg Philanthropies will provide free tuition for Johns Hopkins medical students, if their families make less than $300,000 a year.",
Groups investigating antisemitism and anti-Muslim bias cited instances of discrimination against pro-Israel students and “a pervasive climate of intolerance” against pro-Palestinian students.,
"Two new studies suggest that the largest single federal investment in U.S. schools improved student test scores, but only modestly.",
"Parents, desperate for help, are turning to private schools with a half-dozen or so students.",
And they are getting a financial boost from taxpayers.,
Gov. Gavin Newsom called for a statewide ban as states and large school districts have pursued similar prohibitions to prevent disruption and cyberbullying.,
"The new rules, which would also significantly rein in demonstrations at the university in other ways, come on the heels of a nationwide wave of student activism against Israel’s actions in Gaza.",
Harvard and M.I.T. no longer require applicants for teaching jobs to explain how they would serve underrepresented groups.,
Other schools may follow.,
"“Just because you have the right to say something doesn’t mean it’s right to say,” said Carol Christ, who is retiring as chancellor at the end of this month.",
Democrats wanted to end the electability debate.,
"After Vice President Kamala Harris’s defeat, a conversation that has frustrated and foiled two generations of female candidates rages on.",
The Treasury secretary urged Congress to protect the full faith and credit of the United States by raising the debt limit.,
A fierce dispute erupted in the president-elect’s camp between immigration hard-liners and tech industry leaders including Elon Musk.,
Republicans in Congress have tried to defund public media for decades.,
"With the help of Elon Musk, could they finally make good on their threat?",
"The bird of brown and white feathers has long represented the United States as a majestic and soaring symbol, but only this week did a law make it official.",
The self-help author has twice run unsuccessfully for the Democratic presidential nomination.,
Past U.S. presidents have used their holiday messages to inspire the nation to face hard times by coming together.,
President-elect Donald J. Trump had his own idea.,
"Taiwan Semiconductor Manufacturing Company, a global tech giant, brought thousands of workers from Asia to the Phoenix suburbs for jobs at a plant that the Biden administration helped fund.",
It’s finally time to start using the money you managed to save and invest over the years.,
But be careful: Taxes are just one of the tricky parts.,
Alicia Munnell started the Boston College Center for Retirement Research in 1998.,
"As she prepares to leave, she says fixing Social Security should be a priority now.",
Wholesale coffee prices are trading near a 50-year high because of shortages related to extreme weather and increased global demand.,
Everyone from Jamie Dimon to the International Monetary Fund is ringing alarms about the shadowy world of private credit.,
But the money keeps rolling in.,
"His business choices were diverse and prolific: He founded HBO, bought Madison Square Garden and the New York Knicks, and took over a Long Island newspaper.",
"The company, owned by the Amazon founder Jeff Bezos, also received approval from the Federal Aviation Administration to launch the vehicle to orbit.",
"A dignified presence on camera, most prominently for CBS, he became the first Black announcer to call a major U.S. sports championship, the 2001 Super Bowl.",
"Among the notable figures who died in a sometimes polarizing 2024, many championed justice, equal rights and political freedom.",
"Sales of the company’s cars are flagging, but investors are focusing on the potential of autonomous driving and Mr. Musk’s ties to President-elect Donald J. Trump.",
"The two games had more than 24 million viewers on average in the United States, Netflix said.",
Viewership peaked when Beyoncé performed.,
"His résumé is a catalog of corporate emergencies at Time Warner, Citigroup and the Los Angeles Clippers.",
"Film production has failed to bounce back after major strikes last year, and competition from other locales has gotten stiffer.",
Readers have concerns that President-elect Trump’s policy agenda will unsettle stocks.,
"If you’re tempted to make big portfolio moves, revisit 2020.",
"Total spending from Nov. 1 through Dec. 24 rose 3.8 percent, data released by Mastercard SpendingPulse showed.",
"As the technology is widely adopted, some once-struggling midsize cities in the Midwest, Mid-Atlantic and South may benefit, new research predicts.",
"A report confirmed prior indications that a pilot’s misunderstanding of air traffic control directives, and a missed warning, caused the January accident.",
"The airline also temporarily stopped selling tickets for flights departing Thursday, but said that there was no impact on flight safety.",
"Gov. Michelle Lujan Grisham has clashed with her own party over how to tackle the nexus of addiction, mental illness and violence in New Mexico.",
"A billionaire gave $1,000 to University of Massachusetts Dartmouth graduates in May.",
The catch?,
You had to be there.,
President-elect Donald J. Trump is expected to roll back many of the rules and subsidies that have attracted billions of dollars from the private sector to renewable energy and electric vehicles.,
"Avelo Airlines and Breeze Airways have found success and loyal customers by serving airports in smaller cities, like New Haven, Conn., that were neglected by national carriers.",
"An ousted P.R. executive alleges a conspiracy to harm her and steal her clients, in connection with an effort to tarnish Blake Lively.",
"Billy Long worked with Lifetime Advisors, a company that solicited clients to claim a pandemic-era tax credit that the I.R.S. said became a magnet for fraud.",
Bad weather made delays worse after problems with systems used to release flights on one of the busiest travel days of the year.,
"From Austria to Montana, we found a tempting array of hotels, resorts and other getaways for the perfect winter vacation.",
"The Japanese companies are considering joining forces to survive in a rapidly changing auto industry, but auto history is filled with troubled and failed marriages.",
"The strike began Friday at stores in the Los Angeles, Seattle and Chicago areas and will end on Tuesday.",
"The Committee on Foreign Investment in the United States kicked a decision over the merger with Japan’s Nippon Steel to President Biden, who is expected to block the deal.",
"Some Americans who qualified for a pandemic-era tax credit but did not claim it will get up to $1,400 in their account within the next month.",
